title|year|rated|released|runtime|genres|director|actors|plot|languages|country|awards|imdbRating|rottenTomatoesRating|metaCriticRating|metascore|rating|type|boxoffice|production|Title|ReleaseDate|Genre|Rating|common_title|viewCount|favoriteCount|commentCount|likeCount|dislikeCount
Don't Breathe|2016|R|Fri Aug 26 2016 00:00:00 GMT-0400 (EDT)|88 min|Crime; Horror; Thriller|Fede Alvarez|Stephen Lang; Jane Levy; Dylan Minnette; Daniel Zovatto|Rocky a young woman wanting to start a better life for her and her sister agrees to take part in the robbery of a house owned by a wealthy blind man with her boyfriend Money and their friend Alex But when the blind man turns out to be a more ruthless adversary than he seems the group must find a way to escape his home before they become his latest victims|English; Ukrainian|USA|6 wins & 22 nominations|7.1/10|87%|71/100|71|7.1|movie|$89,210,468|Ghost House Pictures|Don't Breathe|26-Aug-16|Thriller, Horror, Crime|71|Don't Breathe|23133226|0|10040|63437|2557
Florence Foster Jenkins|2016|PG-13|Fri Aug 12 2016 00:00:00 GMT-0400 (EDT)|111 min|Biography; Comedy; Drama|Stephen Frears|Meryl Streep; Hugh Grant; Simon Helberg; Rebecca Ferguson|Florence Foster Jenkins an heiress from NYC always wanted to be a concert pianist and play Carnegie Hall An injury in her youth deterred that dream so she sets out to sing her way to Carnegie Hall knowing the only way to get there would be Practice practice practice Her husband supports her venture and Florence Foster Jenkins performance at Carnegie Hall becomes a truly historic event|English; German; Italian; Russian|UK|Nominated for 2 Oscars Another 8 wins & 39 nominations|6.9/10|87%|71/100|71|6.9|movie|$27,370,107|BBC Films|Florence Foster Jenkins|12-Aug-16|Biography, Drama, Comedy, Romance, Music|71|Florence Foster Jenkins|943129|0|239|1536|62
The Legend of Tarzan|2016|PG-13|Fri Jul 01 2016 00:00:00 GMT-0400 (EDT)|110 min|Action; Adventure; Drama|David Yates|Alexander Skarsgård; Rory J. Saper; Christian Stevens; Christoph Waltz|Following his parents death in Africa John Clayton has been be raised by an ape was known by the name Tarzan but eventually left Africa and for his parents home in England along with the woman he fell in love with and married Jane Porter He is asked by Belgian King Leopold to go to Africa to see what he has done there to help the country Initially he refuses But an American George Washington Williams wants him to accept so he can accompany him He says that Leopold might be committing all sorts of atrocities to achieve his goal like slavery Clayton agrees and his wife insists that she accompany him because she misses Africa When they arrive a man named Rom who works for Leopold attacks their village and captures Tarzan and Jane With Washingtons help he escapes and sets out to rescue Jane by going across the jungle Washington joins him despite being told that he might not make it|English; Lingala; French|UK; Canada; USA|2 wins & 4 nominations|6.3/10|36%|44/100|44|6.3|movie|$126,585,313|Lionsgate Pictures|The Legend of Tarzan|1-Jul-16|Action, Adventure, Drama, Romance|44|The Legend of Tarzan|12537329|0|6551|42269|2955
Hands of Stone|2016|R|Fri Aug 26 2016 00:00:00 GMT-0400 (EDT)|111 min|Action; Biography; Drama|Jonathan Jakubowicz|Edgar Ramírez; Robert De Niro; Usher Raymond; Rubén Blades|Follows the life of Roberto Duran who made his professional debut in 1968 as a 16-year-old and retired in 2002 at age 50 In June 1980 he defeated Sugar Ray Leonard to capture the WBC welterweight title but shocked the boxing world by returning to his corner in the November rematch saying no mas (no more)|English; Spanish|Panama; USA|N/A|6.6/10|45%|54/100|54|6.6|movie|$4,711,216|Fuego Films|Hands of Stone|26-Aug-16|Action, Biography, Drama, Sport|54|Hands of Stone|3549253|0|405|2054|147
Jason Bourne|2016|PG-13|Fri Jul 29 2016 00:00:00 GMT-0400 (EDT)|123 min|Action; Thriller|Paul Greengrass|Matt Damon; Tommy Lee Jones; Alicia Vikander; Vincent Cassel|Jason Bourne is again being hunted by the CIA It begins when Nicky Parson a former CIA operative who helped Bourne who went under and now works with a man whos a whistle blower and is out to expose the CIAs black ops Nicky hacks into the CIA and downloads everything on all their Black Ops including Treadstone which Bourne was a part of And Heather Lee a CIA agent discovers the hack and brings it to the attention of CIA Director Dewey the man behind the Black Ops He orders Parsons be found and hopefully Bourne too|English; Greek; German; Japanese|UK; China; USA|3 wins & 20 nominations|6.6/10|55%|58/100|58|6.6|movie|$162,162,120|Universal|Jason Bourne|29-Jul-16|Action, Thriller|58|Jason Bourne|14688350|0|6788|49979|2248
War Dogs|2016|R|Fri Aug 19 2016 00:00:00 GMT-0400 (EDT)|114 min|Comedy; Crime; Drama|Todd Phillips|Miles Teller; Steve Lantz; Gregg Weiner; David Packouz|Two friends in their early 20s (Hill and Teller) living in Miami Beach during the Iraq War exploit a little-known government initiative that allows small businesses to bid on US Military contracts Starting small they begin raking in big money and are living the high life But the pair gets in over their heads when they land a 300 million dollar deal to arm the Afghan Military - a deal that puts them in business with some very shady people not the least of which turns out to be the US Government Based on true events|English; Arabic; Albanian; Romanian|USA; Cambodia|Nominated for 1 Golden Globe Another 2 nominations|7.1/10|59%|57/100|57|7.1|movie|$43,017,433|Warner Bros. Pictures|War Dogs|19-Aug-16|Drama, Thriller, Comedy, Crime, War|57|War Dogs|5707125|0|220|2988|349
Mike and Dave Need Wedding Dates|2016|R|Fri Jul 08 2016 00:00:00 GMT-0400 (EDT)|98 min|Adventure; Comedy; Romance|Jake Szymanski|Zac Efron; Adam Devine; Anna Kendrick; Aubrey Plaza|Hard-partying brothers Mike (Adam Devine) and Dave (Zac Efron) place an online ad to find the perfect dates (Anna Kendrick Aubrey Plaza) for their sisters Hawaiian wedding Hoping for a wild getaway the boys instead find themselves outsmarted and out-partied by the uncontrollable duo|English; Chinese; Japanese|USA|4 nominations|6.0/10|35%|51/100|51|6|movie|$46,007,113|20th Century Fox|Mike and Dave Need Wedding Dates|8-Jul-16|Adventure, Comedy, Romance|51|Mike and Dave Need Wedding Dates|1540353|0|257|3725|270
Mike and Dave Need Wedding Dates|2016|R|Fri Jul 08 2016 00:00:00 GMT-0400 (EDT)|98 min|Adventure; Comedy; Romance|Jake Szymanski|Zac Efron; Adam Devine; Anna Kendrick; Aubrey Plaza|Hard-partying brothers Mike (Adam Devine) and Dave (Zac Efron) place an online ad to find the perfect dates (Anna Kendrick Aubrey Plaza) for their sisters Hawaiian wedding Hoping for a wild getaway the boys instead find themselves outsmarted and out-partied by the uncontrollable duo|English; Chinese; Japanese|USA|4 nominations|6.0/10|35%|51/100|51|6|movie|$46,007,113|20th Century Fox|Mike and Dave Need Wedding Dates|8-Jul-16|Adventure, Comedy, Romance|51|Mike and Dave Need Wedding Dates|1540353|0|257|3725|270
The Light Between Oceans|2016|PG-13|Fri Sep 02 2016 00:00:00 GMT-0400 (EDT)|133 min|Drama; Romance|Derek Cianfrance|Michael Fassbender; Alicia Vikander; Rachel Weisz; Florence Clery|A war weary man takes a job as a lighthouse keeper on an island for the solitude He meets a beautiful young woman and they eventually marry One day they see a small dingy with an infant and man inside floating in the ocean They rush to rescue them only to find the man is dead They struggle over the decision to report it and whether to keep the baby Its only years later that they discover that the child still has a mother looking for her|English|UK; New Zealand; USA|1 win & 9 nominations|7.2/10|59%|60/100|60|7.2|movie|$12,533,911|Dreamworks Pictures|The Light Between Oceans|2-Sep-16|Drama, Romance|60|The Light Between Oceans|1394378|0|306|3612|190
Mechanic: Resurrection|2016|R|Fri Aug 26 2016 00:00:00 GMT-0400 (EDT)|98 min|Action; Adventure; Crime|Dennis Gansel|Jason Statham; Jessica Alba; Tommy Lee Jones; Michelle Yeoh|Arthur Bishop the master assassin who faked his death in hopes of putting that part of his life behind him now lives a quiet life in Rio But someone who knows who he is shows up and tells him that if he wants to continue living this life he will do three jobs for someone Bishop tries to tell them he has the wrong man but they know who he is and if he wont do the job they will take him but he gets away He then goes to a resort in Thailand run by a friend Mae where he tries to find out who is looking for him Later a woman named Gina shows up looking for medical assistance and Mae cant help but notice bruises all over her body Mae deduces shes a battered woman and when Mae hears her being beaten Mae asks Bishop to help her He goes and kills the guy shes with He kills the man and then sets fire to the boat hes on But he sees that Gina has a photo of him He deduces that they one who wants him sent her He confronts her and she admits that she works at a childrens shelter in Cambodia and that someone told her if she didnt do what he said the children would be endanger While waiting for the man to come they get close And when the mans people comes they grab them Bishop is brought to the man who wants him to do the jobs and he tells Bishop that if he doesnt do it Gina will be killed So Bishop has no choice but to do it|English; Portuguese; Thai; Bulgarian|France; USA|1 nomination|5.7/10|31%|38/100|38|5.7|movie|$21,203,260|Summit Entertainment|Mechanic: Resurrection|26-Aug-16|Action, Thriller, Crime|38|Mechanic: Resurrection|12567269|0|1269|18910|968
Mechanic: Resurrection|2016|R|Fri Aug 26 2016 00:00:00 GMT-0400 (EDT)|98 min|Action; Adventure; Crime|Dennis Gansel|Jason Statham; Jessica Alba; Tommy Lee Jones; Michelle Yeoh|Arthur Bishop the master assassin who faked his death in hopes of putting that part of his life behind him now lives a quiet life in Rio But someone who knows who he is shows up and tells him that if he wants to continue living this life he will do three jobs for someone Bishop tries to tell them he has the wrong man but they know who he is and if he wont do the job they will take him but he gets away He then goes to a resort in Thailand run by a friend Mae where he tries to find out who is looking for him Later a woman named Gina shows up looking for medical assistance and Mae cant help but notice bruises all over her body Mae deduces shes a battered woman and when Mae hears her being beaten Mae asks Bishop to help her He goes and kills the guy shes with He kills the man and then sets fire to the boat hes on But he sees that Gina has a photo of him He deduces that they one who wants him sent her He confronts her and she admits that she works at a childrens shelter in Cambodia and that someone told her if she didnt do what he said the children would be endanger While waiting for the man to come they get close And when the mans people comes they grab them Bishop is brought to the man who wants him to do the jobs and he tells Bishop that if he doesnt do it Gina will be killed So Bishop has no choice but to do it|English; Portuguese; Thai; Bulgarian|France; USA|1 nomination|5.7/10|31%|38/100|38|5.7|movie|$21,203,260|Summit Entertainment|Mechanic: Resurrection|26-Aug-16|Action, Thriller, Crime|38|Mechanic: Resurrection|12567269|0|1269|18910|968
The Wild Life|2016|PG|Fri Sep 09 2016 00:00:00 GMT-0400 (EDT)|91 min|Animation; Adventure; Comedy|Vincent Kesteloot; Ben Stassen; Mimi Maynard|Matthias Schweighöfer; Kaya Yanar; Ilka Bessin; Dieter Hallervorden|On a tiny exotic island Tuesday an outgoing parrot lives with his quirky animal friends in paradise However Tuesday cant stop dreaming about discovering the world After a violent storm Tuesday and his friends wake up to find a strange creature on the beach: Robinson Crusoe Tuesday immediately views Crusoe as his ticket off the island to explore new lands Likewise Crusoe soon realizes that the key to surviving on the island is through the help of Tuesday and the other animals It isnt always easy at first as the animals dont speak human Slowly but surely they all start living together in harmony until one day when their comfortable life is overturned by two savage cats who wish to take control of the island A battle ensues between the cats and the group of friends but Crusoe and the animals soon discover the true power of friendship up against all odds (even savage cats)|English; French; German|Belgium; France|1 win|5.3/10|16%|36/100|36|5.3|movie|$7,965,609|StudioCanal|The Wild Life|9-Sep-16|Adventure, Comedy, Animation, Family|36|The Wild Life|1217957|0|451|1508|538
Sully|2016|PG-13|Fri Sep 09 2016 00:00:00 GMT-0400 (EDT)|96 min|Biography; Drama|Clint Eastwood|Tom Hanks; Aaron Eckhart; Valerie Mahaffey; Delphi Harrington|On Thursday January 15th 2009 the world witnessed the Miracle on the Hudson when Captain Chesley Sullenberger nicknamed Sully glided his disabled plane onto the frigid waters of the Hudson River saving the lives of all 155 aboard However even as Sully was being heralded by the public and the media for his unprecedented feat of aviation skill an investigation was unfolding that threatened to destroy his reputation and his career|English|USA|Nominated for 1 Oscar Another 12 wins & 33 nominations|7.5/10|86%|74/100|74|7.5|movie|$125,065,700|Warner Bros.|Sully|9-Sep-16|Biography, Drama|74|Sully|14765703|0|8703|54735|2057
When the Bough Breaks|2016|PG-13|Fri Sep 09 2016 00:00:00 GMT-0400 (EDT)|107 min|Crime; Drama; Horror|Jon Cassar|Morris Chestnut; Regina Hall; Romany Malco; Michael Kenneth Williams|John and Laura Taylor (Morris Chestnut and Regina Hall) are a young professional couple who desperately want a baby After exhausting all other options they finally hire Anna (Jaz Sinclair) the perfect woman to be their surrogate - but as she gets further along in her pregnancy so too does her psychotic and dangerous fixation on the husband The couple becomes caught up in Annas deadly game and must fight to regain control of their future before its too late|English|USA|1 nomination|4.9/10|11%|28/100|28|4.9|movie|$29,740,655|Sony Pictures|When the Bough Breaks|9-Sep-16|Drama, Mystery, Thriller, Horror|28|When the Bough Breaks|1844803|0|1192|9701|495
The Magnificent Seven|2016|PG-13|Fri Sep 23 2016 00:00:00 GMT-0400 (EDT)|132 min|Action; Adventure; Western|Antoine Fuqua|Denzel Washington; Chris Pratt; Ethan Hawke; Vincent D'Onofrio|Director Antoine Fuqua brings his modern vision to a classic story in The Magnificent Seven With the town of Rose Creek under the deadly control of industrialist Bartholomew Bogue the desperate townspeople employ protection from seven outlaws bounty hunters gamblers and hired guns As they prepare the town for the violent showdown that they know is coming these seven mercenaries find themselves fighting for more than money|English; North American Indian; Spanish|USA|5 wins & 12 nominations|6.9/10|63%|54/100|54|6.9|movie|$93,381,044|Sony Pictures|The Magnificent Seven|23-Sep-16|Action, Adventure, Western|54|The Magnificent Seven|11374024|0|3989|21489|1397
